"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","11.9","15.3","16.4","16.0","24.6","23.8","28.9","30.0","27.8","24.7","25.7","19.6"
"02","12.2","14.5","18.8","18.0","24.3","24.1","30.1","30.0","25.5","24.8","27.6","20.0"
"03","15.5","11.4","17.2","15.9","26.4","22.2","31.0","29.9","26.8","26.6","24.7","22.0"
"04","16.6","14.1","16.2","20.0","27.5","24.9","30.2","30.3","27.6","26.7","24.5","20.9"
"05","17.4","15.4","16.3","23.6","20.4","27.5","29.9","30.6","26.6","27.5","28.1","15.4"
"06","20.1","12.3","18.8","25.5","20.1","27.5","29.9","30.6","28.7","24.7","27.4","14.3"
"07","19.7","12.2","18.9","26.6","21.3","27.6","30.3","29.4","28.9","22.4","27.1","17.2"
"08","21.9","12.6","17.7","26.5","25.3","27.8","29.3","29.4","28.8","24.9","23.9","18.0"
"09","21.0","10.1","17.8","27.2","27.8","27.0","28.5","28.8","27.9","25.5","19.7","18.7"
"10","21.6","11.5","17.5","21.4","21.0","28.2","29.8","28.4","28.1","26.6","19.3","20.6"
"11","22.8","12.6","20.6","21.2","21.0","29.6","28.2","28.0","27.4","25.6","18.4","19.8"
"12","20.0","9.8","22.8","21.9","21.2","25.9","28.3","30.2","26.7","24.3","20.4","20.9"
"13","15.5","9.3","22.3","20.6","22.6","26.2","29.6","31.1","26.4","24.8","21.1","20.1"
"14","13.9","11.3","17.6","21.0","23.5","25.2","29.7","31.2","25.5","24.5","23.0","16.2"
"15","14.7","11.9","19.4","25.5","22.9","26.8","30.6","28.8","26.5","25.4","23.8","15.6"
"16","13.7","15.6","20.9","26.3","24.1","26.4","30.3","28.6","29.2","27.0","22.2","18.0"
"17","14.3","16.8","19.7","22.4","26.9","27.2","28.4","27.9","29.0","27.1","21.6","19.0"
"18","15.3","16.8","20.1","22.4","28.2","27.5","26.9","29.3","29.0","27.1","19.4","18.2"
"19","18.8","15.6","18.4","24.3","23.1","28.3","29.4","30.5","29.7","26.7","16.6","20.5"
"20","19.3","16.0","18.9","25.4","23.2","29.9","30.5","30.5","29.8","26.8","16.9","19.7"
"21","17.0","19.2","22.1","24.0","25.2","30.0","31.7","31.6","29.4","27.3","19.2","19.8"
"22","17.0","19.5","22.2","22.5","26.1","30.1","30.1","30.3","29.2","27.0","23.0","13.8"
"23","15.5","17.4","17.7","20.2","26.7","30.7","29.8","28.2","30.7","27.1","23.5","15.8"
"24","13.0","15.2","18.7","18.5","27.5","30.1","31.3","27.9","30.6","24.9","20.8","19.5"
"25","14.7","18.6","20.7","20.7","27.0","29.8","31.4","30.0","30.4","26.9","20.5","17.7"
"26","16.7","14.1","20.9","23.5","25.5","29.4","30.7","30.3","29.6","26.4","21.1","17.3"
"27","14.1","11.9","21.3","24.9","26.5","28.7","28.9","29.0","25.1","24.0","19.3","21.1"
"28","16.1","14.1","21.9","22.3","29.0","27.9","28.1","30.0","25.6","24.8","15.1","21.3"
"29","15.5","14.3","23.8","22.3","30.4","26.7","27.4","30.1","24.3","26.3","15.9","18.6"
"30","14.0","--","19.4","24.6","29.1","27.4","28.6","30.0","23.6","27.4","18.1","16.2"
"31","12.5","--","14.8","--","22.5","--","29.9","30.4","--","27.1","--","13.8"
"平均","16.5","14.1","19.3","22.5","24.9","27.5","29.6","29.7","27.8","25.9","21.6","18.4"
