"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","15.1","16.3","18.9","20.1","29.7","24.9","30.8","27.1","29.1","23.7","20.1","19.9"
"02","15.5","13.7","19.1","23.5","28.1","25.3","30.4","26.5","29.3","23.8","22.6","18.7"
"03","16.1","12.5","19.0","21.1","23.4","25.1","30.6","27.8","28.6","23.8","24.7","18.0"
"04","11.0","17.5","19.5","22.0","21.0","25.4","31.1","29.2","29.5","24.0","23.1","18.2"
"05","12.3","19.4","20.9","19.2","23.9","27.0","31.2","28.5","30.2","24.5","21.9","17.2"
"06","15.5","21.4","22.4","18.7","24.5","27.8","30.1","28.5","30.6","25.0","21.5","16.8"
"07","16.0","13.5","16.5","21.1","26.4","30.0","30.0","30.9","29.9","24.1","21.1","19.7"
"08","17.5","10.5","16.0","22.3","28.9","30.3","31.0","31.7","30.3","24.3","23.6","18.1"
"09","17.0","12.9","13.6","21.6","26.8","30.2","32.1","28.8","30.0","24.2","24.0","15.0"
"10","17.6","15.2","12.8","24.8","22.7","31.0","32.3","29.7","30.0","23.8","24.8","16.4"
"11","16.0","16.1","13.8","25.9","23.8","30.4","31.9","29.7","29.8","23.5","20.1","16.0"
"12","16.3","20.4","13.9","26.2","26.5","24.8","31.9","28.1","29.8","22.9","19.8","16.4"
"13","18.1","20.3","14.9","27.0","27.8","26.4","31.7","29.0","29.3","23.7","21.4","19.4"
"14","20.3","21.1","16.7","22.3","29.5","26.3","31.3","30.5","26.5","24.1","22.7","21.0"
"15","18.4","18.1","17.7","23.7","29.2","27.2","30.5","30.5","24.9","23.8","22.4","21.9"
"16","16.1","15.7","21.6","19.9","27.1","26.3","28.2","31.2","24.5","24.4","24.5","21.6"
"17","18.0","13.8","24.5","20.2","24.4","29.0","30.2","27.9","24.6","23.4","19.6","20.1"
"18","19.5","11.9","23.1","22.7","25.2","29.6","30.6","29.8","25.1","21.5","18.0","15.5"
"19","18.6","12.8","18.3","23.9","24.8","27.0","30.7","30.5","23.9","23.0","20.1","14.8"
"20","17.0","18.4","18.0","24.7","23.9","26.1","31.5","30.4","24.1","24.3","22.6","19.4"
"21","16.2","20.2","17.5","25.6","24.5","24.5","31.8","30.5","27.6","25.4","22.3","20.5"
"22","13.6","21.0","22.3","22.0","24.6","27.1","30.8","29.0","28.2","25.4","22.1","17.1"
"23","11.9","19.4","21.4","25.4","25.8","28.0","30.1","28.7","27.1","22.4","20.6","12.9"
"24","13.6","18.2","13.0","25.9","27.8","28.5","30.9","29.5","25.8","24.3","18.2","15.1"
"25","11.3","15.3","16.8","27.1","27.6","28.4","30.7","29.9","26.6","26.0","23.2","19.3"
"26","13.5","13.1","20.2","19.0","26.4","28.2","27.7","28.3","26.8","27.0","17.6","19.7"
"27","15.9","13.6","21.8","20.6","24.7","29.5","30.1","30.0","26.3","27.5","15.7","21.3"
"28","16.6","14.7","22.8","23.3","24.3","30.0","31.2","28.5","25.0","25.1","19.5","19.7"
"29","16.4","17.4","22.9","24.9","27.2","30.6","30.7","29.3","23.5","24.1","18.8","21.8"
"30","16.8","--","23.7","28.2","28.0","29.9","28.5","27.5","22.7","23.1","19.5","10.2"
"31","14.6","--","17.9","--","24.9","--","27.9","27.5","--","19.8","--","10.9"
"平均","15.9","16.4","18.8","23.1","25.9","27.8","30.6","29.2","27.3","24.1","21.2","17.8"
