"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","13.7","20.5","20.7","21.3","17.4","30.7","31.0","30.1","23.7","26.5","25.0","17.5"
"02","17.4","21.1","13.5","19.7","20.2","30.5","30.2","30.3","25.6","26.0","25.6","17.4"
"03","14.3","20.4","12.9","19.4","21.5","27.8","30.0","30.9","26.1","23.3","24.7","18.0"
"04","15.3","22.7","15.4","21.0","22.9","26.6","30.3","31.6","26.5","24.4","21.9","17.7"
"05","16.8","20.2","18.9","21.8","24.9","26.4","29.0","31.8","27.5","24.3","21.3","19.1"
"06","18.4","19.3","20.3","18.3","25.4","27.5","28.3","30.8","29.1","24.9","24.2","19.1"
"07","19.0","19.9","19.9","16.4","26.5","28.7","28.0","31.0","28.6","26.8","23.3","20.4"
"08","16.8","14.3","21.0","20.6","26.4","30.5","29.5","32.4","28.6","27.9","26.2","22.2"
"09","14.6","14.7","21.7","18.9","27.1","29.2","29.7","31.9","29.2","25.5","27.6","20.6"
"10","14.1","16.7","21.4","18.4","27.5","25.7","29.4","30.7","29.8","26.8","26.6","16.0"
"11","17.8","18.4","18.4","17.4","22.7","25.8","29.6","31.0","30.1","26.4","21.4","16.4"
"12","18.0","16.8","21.2","15.0","22.5","26.6","29.0","31.8","30.7","25.3","20.3","17.1"
"13","16.2","16.7","21.5","18.6","24.7","27.9","26.5","31.9","30.3","26.1","20.3","18.0"
"14","14.8","18.8","15.4","17.9","26.2","28.9","28.8","29.3","30.3","26.6","22.8","19.2"
"15","17.3","16.7","17.4","22.9","25.7","29.4","28.6","27.4","28.8","25.2","21.3","19.4"
"16","17.1","17.4","20.8","23.9","26.3","29.3","29.7","28.4","28.1","22.2","20.3","20.3"
"17","14.2","21.2","22.5","26.2","26.8","29.6","30.0","28.1","27.5","22.6","18.9","16.5"
"18","13.0","22.4","24.0","26.3","26.4","29.9","28.9","29.3","27.2","23.6","17.2","14.5"
"19","17.7","17.5","24.4","21.5","28.2","30.0","28.9","30.6","27.9","24.1","17.6","13.0"
"20","18.4","15.2","23.8","21.6","27.6","30.0","29.5","27.5","27.6","24.5","19.7","13.2"
"21","20.8","18.3","19.6","16.6","25.6","31.0","30.0","27.1","27.8","23.1","20.7","12.4"
"22","19.2","16.4","23.8","19.9","25.8","30.4","30.6","27.3","28.3","22.4","20.3","14.2"
"23","17.5","16.4","23.9","24.3","26.6","29.0","30.9","27.5","28.7","22.4","23.8","15.2"
"24","19.0","20.3","22.5","24.3","26.3","28.9","30.6","28.3","28.9","21.2","22.6","14.3"
"25","15.9","21.0","17.8","21.7","27.0","30.2","29.4","28.8","27.8","20.8","17.9","15.7"
"26","16.8","22.4","20.7","22.2","27.6","31.4","28.3","30.1","25.0","20.6","19.7","14.2"
"27","14.5","19.1","18.4","20.9","29.4","32.0","29.2","30.6","25.7","21.5","19.8","11.1"
"28","15.8","21.3","19.4","22.7","30.3","31.3","30.1","29.9","26.7","22.9","13.9","12.8"
"29","16.8","--","18.3","25.4","29.3","30.9","30.8","26.8","28.0","24.2","13.8","11.7"
"30","17.4","--","19.1","26.6","29.8","30.2","31.0","28.2","25.9","24.5","17.1","14.6"
"31","19.2","--","18.9","--","30.4","--","29.8","26.5","--","23.1","--","16.9"
"平均","16.7","18.8","19.9","21.1","26.0","29.2","29.5","29.6","27.9","24.2","21.2","16.4"
