"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","11.3","15.4","17.3","21.7","25.7","26.8","29.4","30.8","28.7","24.7","23.6","18.9"
"02","14.1","14.6","13.6","23.0","24.2","25.5","29.5","30.5","27.5","23.7","25.7","15.1"
"03","13.5","17.5","14.1","21.0","22.7","25.7","29.6","30.1","28.5","21.8","26.0","16.0"
"04","13.1","17.4","12.8","15.1","21.6","27.7","30.6","30.5","28.0","22.3","27.9","18.9"
"05","16.8","16.9","17.1","15.4","23.2","29.7","30.7","29.8","27.7","24.0","27.3","19.4"
"06","13.5","18.3","17.7","19.6","24.3","30.8","30.0","30.4","26.9","24.0","25.8","21.7"
"07","11.7","20.4","13.3","21.4","26.3","30.9","30.4","29.4","28.2","24.7","24.0","24.1"
"08","15.1","20.4","14.2","21.3","28.1","31.2","31.2","29.3","28.7","25.6","23.4","18.5"
"09","14.5","18.6","17.4","20.1","29.0","29.5","30.1","29.0","29.5","25.7","21.4","14.1"
"10","12.0","18.2","15.0","23.2","28.9","28.6","28.6","28.9","30.0","26.9","19.8","14.5"
"11","10.9","14.2","14.4","20.2","30.4","28.4","29.9","28.5","29.3","27.3","19.5","14.5"
"12","10.1","12.5","15.3","19.4","27.4","29.4","29.9","27.6","28.5","26.4","20.5","17.3"
"13","14.6","15.0","18.9","22.5","22.1","29.0","27.9","28.2","27.7","25.9","21.5","18.1"
"14","16.9","11.2","21.8","23.8","20.8","30.4","28.4","28.3","27.8","25.4","21.5","19.1"
"15","12.6","12.2","15.7","25.1","22.2","30.5","26.9","29.9","28.9","24.2","22.1","17.7"
"16","8.9","16.7","13.3","23.1","21.3","29.6","27.0","30.6","28.8","24.4","24.9","14.8"
"17","12.1","17.1","15.7","18.7","21.1","29.6","27.7","31.6","28.2","24.3","24.4","14.6"
"18","16.1","15.5","18.8","20.9","25.6","29.8","27.8","31.6","27.5","23.8","24.3","17.1"
"19","17.1","15.0","19.2","20.0","26.1","30.2","29.6","30.9","25.3","23.2","22.6","16.0"
"20","16.8","14.4","23.3","20.6","26.1","30.4","30.6","30.6","24.4","22.9","20.2","18.7"
"21","14.5","14.6","23.1","22.5","26.9","29.6","29.9","29.6","24.0","24.0","21.0","18.2"
"22","15.1","16.8","14.5","22.2","27.1","30.5","30.1","29.6","24.1","23.6","23.6","14.6"
"23","15.7","18.5","13.7","18.6","25.8","31.3","31.5","29.7","24.1","25.0","19.9","13.3"
"24","13.0","18.3","14.1","22.7","22.4","29.2","31.7","29.3","25.5","26.0","19.5","11.8"
"25","14.0","19.2","14.1","22.9","22.8","27.4","29.8","29.8","27.6","21.8","21.1","14.2"
"26","15.5","21.8","12.3","24.3","25.3","28.1","28.3","29.8","27.3","20.9","22.6","15.5"
"27","16.4","21.6","11.8","26.4","24.2","29.3","30.5","28.7","27.9","23.0","23.2","16.5"
"28","15.8","20.2","14.1","24.0","21.5","27.4","31.5","28.2","29.7","23.9","23.8","17.9"
"29","11.8","--","18.2","25.1","22.1","26.4","30.6","28.8","30.4","23.4","23.8","17.5"
"30","10.9","--","17.1","25.4","24.9","28.5","30.3","29.1","28.2","22.8","23.4","15.0"
"31","10.9","--","19.3","--","27.2","--","30.6","28.9","--","22.3","--","15.0"
"平均","13.7","16.9","16.2","21.7","24.8","29.0","29.7","29.6","27.6","24.1","22.9","16.7"
