"年","可支配所得-億元","平均每戶可支配所得","可支配所得按戶數五等分位組-最低所得組-元","可支配所得按戶數五等分位組-次低所得組-元","可支配所得按戶數五等分位組-中間所得組-元","可支配所得按戶數五等分位組-次高所得組-元","可支配所得按戶數五等分位組-最高所得組-元","消費支出-億元","平均每戶消費支出-元","可支配所得按戶數五等分位組之平均每戶消費支出-最低所得組-元","可支配所得按戶數五等分位組之平均每戶消費支出-次低所得組-元","可支配所得按戶數五等分位組之平均每戶消費支出-中間所得組-元","可支配所得按戶數五等分位組之平均每戶消費支出-次高所得組-元","可支配所得按戶數五等分位組之平均每戶消費支出-最高所得組-元","儲蓄-億元","平均每戶儲蓄-元","可支配所得按戶數五等分位組之平均每戶儲蓄-最低所得組-元","可支配所得按戶數五等分位組之平均每戶儲蓄-次低所得組-元","可支配所得按戶數五等分位組之平均每戶儲蓄-中間所得組-元","可支配所得按戶數五等分位組之平均每戶儲蓄-次高所得組-元","可支配所得按戶數五等分位組之平均每戶儲蓄-最高所得組-元"
"1994","42855","769755","280259","499105","669983","892016","1507414","30397","545987","255078","419297","522530","624470","908563","12458","223768","25181","79808","147453","267546","598851"
"1995","46499","811338","296166","525749","704713","948484","1581581","33873","591035","270859","451990","567437","685390","979498","12626","220303","25307","73759","137276","263094","602083"
"1996","48825","826378","298443","537241","723067","966103","1607034","36302","614435","285227","464278","589982","721896","1010792","12522","211943","13216","72963","133085","244207","596242"
"1997","52706","863427","312458","557429","753919","1003815","1689517","38730","634477","292464","487183","612672","747747","1032317","13976","228951","19994","70245","141247","256068","657199"
"1998","54775","873175","310865","560766","765375","1014770","1714097","40545","646343","288889","496500","632744","763930","1049654","14229","226831","21976","64267","132630","250840","664443"
"1999","57176","889053","317001","573853","778496","1031669","1744245","42142","655282","290266","497548","638566","777298","1072735","15034","233770","26735","76305","139931","254371","671511"
"2000","58734","891445","315172","571355","778556","1043508","1748633","43664","662722","300440","502783","634736","780907","1094744","15070","228723","14733","68572","143820","262601","653888"
"2001","58468","868651","279404","524766","740054","1013478","1785550","44281","657872","283920","480451","629430","792556","1103002","14187","210779","-4516","44315","110623","220922","682548"
"2002","59907","875919","292113","538584","743888","1005274","1799733","46003","672619","302415","500714","647533","804065","1108368","13904","203300","-10302","37871","96355","201210","691365"
"2003","61377","881662","296297","545465","745231","1021325","1799992","46390","666372","294645","491137","650448","802983","1092645","14988","215290","1652","54328","94783","218342","707347"
"2004","63131","891249","297305","555452","775719","1035972","1791796","49063","692648","295476","513243","678420","831215","1144888","14068","198600","1829","42208","97299","204757","646909"
"2005","64471","894574","297694","556117","779044","1043131","1796884","50526","701076","299642","516758","688550","861302","1139131","13945","193497","-1948","39360","90494","181829","657753"
"2006","66729","913092","304274","564865","795427","1073507","1827387","52108","713024","304091","524833","702656","860439","1173099","14621","200068","183","40032","92770","213067","654288"
"2007","68499","923874","312145","571128","799418","1069885","1866791","53093","716094","313309","530417","699698","868505","1168540","15405","207780","-1164","40711","99720","201380","698251"
"2008","68934","913687","303517","564893","796225","1068804","1834994","53221","705413","309419","522744","687699","849967","1157234","15713","208274","-5902","42149","108525","218837","677760"
"2009","68239","887605","282260","544532","771572","1049242","1790418","54253","705680","312957","520079","674549","856788","1164025","13986","181925","-30697","24453","97023","192454","626394"
"2010","69733","889353","288553","542741","773468","1054693","1787312","55066","702292","309078","508446","680747","849369","1163820","14667","187061","-20525","34295","92720","205324","623492"
"2011","72274","907988","296352","546903","786324","1083008","1827354","58028","729010","325660","522084","695209","875496","1226601","14246","178978","-29308","24819","91114","207512","600753"
"2012","74601","923584","301362","566814","810075","1093553","1846116","58778","727693","327157","531922","700722","880096","1198566","15823","195891","-25795","34891","109353","213457","647550"
"2013","77182","942208","309459","583287","823937","1111674","1882680","61267","747922","331391","545713","715675","902072","1244759","15915","194286","-21932","37575","108262","209603","637921"
"2014","79323","956849","317144","587625","830741","1128799","1919937","62603","755169","336429","543391","713274","911211","1271539","16719","201680","-19285","44233","117467","217587","648398"
"2015","80921","964895","320312","587763","836842","1139842","1939718","63708","759647","339536","544624","723571","921454","1269049","17213","205248","-19224","43139","113271","218388","670669"
"2016","84000","993115","329400","616604","861413","1153992","2004165","65704","776811","347785","558894","747798","931774","1297803","18295","216304","-18384","57710","113615","222218","706361"
"2017","87213","1018941","338278","627855","884183","1191537","2052850","69472","811670","356629","584512","772625","978626","1365955","17741","207271","-18351","43342","111558","212911","686895"
"2018","89569","1036304","344948","637775","888498","1211270","2099030","70127","811359","363158","594516","776708","974626","1347787","19442","224945","-18210","43259","111790","236643","751243"
"2019","92563","1059731","350189","645272","911571","1253751","2137871","72427","829199","368379","593512","789419","1001417","1393267","20136","230532","-18190","51760","122152","252334","744604"
"2020","95327","1079648","354959","657313","929551","1280022","2176394","71969","815100","372529","586597","785424","984604","1346345","23358","264548","-17569","70716","144128","295418","830049"
"2021","97276","1090554","358594","662440","935016","1291029","2205691","72737","815442","376058","590705","783577","985296","1341575","24540","275112","-17465","71736","151439","305733","864115"
"2022","99421","1108569","364876","672906","954383","1306283","2244401","74845","834537","382209","605971","800767","1008897","1374842","24576","274032","-17334","66935","153616","297386","869559"
"2023","103668","1136708","375828","687207","976721","1341995","2301788","78551","861305","392454","627259","821836","1041542","1423435","25117","275402","-16626","59947","154885","300453","878352"
"2024","107922","1165206","383927","701178","1001276","1382254","2357393","82311","888699","402142","645207","848290","1075600","1472254","25610","276507","-18214","55971","152986","306654","885139"
