"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","13.5","19.0","21.6","26.3","25.2","26.3","31.6","28.1","31.0","28.0","23.2","16.1"
"02","14.4","17.2","16.4","26.3","26.0","27.8","31.2","28.4","29.7","28.3","23.0","17.1"
"03","18.0","19.0","16.9","25.2","26.5","30.0","30.6","27.8","29.8","29.4","23.0","16.0"
"04","18.2","19.8","18.1","19.6","27.7","27.8","30.6","28.4","28.3","30.2","23.2","17.2"
"05","16.8","21.2","20.4","17.7","22.6","24.7","31.2","28.2","30.2","29.3","25.4","18.4"
"06","15.0","19.9","18.2","18.9","24.2","23.8","30.7","26.9","30.0","29.5","25.5","18.9"
"07","12.0","21.7","17.9","20.4","27.9","26.5","30.2","25.4","30.4","30.1","25.3","18.8"
"08","8.2","19.3","18.2","20.0","26.7","28.8","31.2","29.1","30.7","29.8","19.9","20.3"
"09","9.3","17.2","19.8","16.8","27.6","28.9","31.5","28.8","31.0","29.3","17.3","21.2"
"10","13.1","20.7","18.9","18.9","28.8","29.0","31.0","28.8","31.3","29.5","17.8","21.8"
"11","11.4","19.1","22.0","24.3","29.4","29.5","30.7","28.7","29.5","26.8","19.0","22.1"
"12","10.3","19.7","20.0","24.7","30.0","29.9","30.3","29.4","26.6","28.2","19.1","19.4"
"13","13.0","19.0","18.9","23.6","30.1","29.7","29.5","28.2","30.3","27.5","17.9","17.8"
"14","15.4","18.6","20.3","19.7","29.8","31.1","30.3","28.1","30.8","28.1","19.3","20.7"
"15","16.5","19.0","22.7","20.6","29.7","31.6","31.4","29.0","29.2","28.6","21.6","22.9"
"16","17.5","20.6","23.9","21.3","30.9","32.3","31.4","30.1","28.6","27.3","24.0","22.2"
"17","13.6","15.9","22.1","22.2","30.3","32.5","30.9","30.0","28.7","22.3","23.6","18.5"
"18","14.3","14.5","21.6","20.9","29.0","32.8","30.7","28.4","29.3","22.7","21.6","15.4"
"19","17.1","15.6","23.0","21.6","28.9","32.9","31.2","27.5","30.4","23.9","22.5","17.3"
"20","20.7","17.0","22.8","23.9","29.8","32.1","30.3","28.8","30.7","24.1","22.7","19.7"
"21","23.7","18.3","17.1","24.8","29.7","31.6","28.5","28.5","29.8","22.5","24.3","18.6"
"22","22.5","20.0","13.5","26.8","29.1","27.3","27.8","29.4","29.9","19.8","19.1","17.7"
"23","20.4","21.7","17.7","24.7","30.2","25.3","27.4","30.1","30.3","19.9","15.3","20.0"
"24","17.6","23.1","16.3","24.8","28.2","26.3","27.7","29.1","29.2","20.4","18.0","19.4"
"25","18.9","22.8","16.9","23.1","26.8","26.8","32.4","28.6","28.4","21.3","20.1","16.4"
"26","18.8","20.7","22.3","24.3","29.6","29.2","31.6","29.8","28.2","23.8","19.2","13.9"
"27","18.2","17.1","23.3","24.4","31.2","30.6","31.3","30.4","28.6","23.8","18.8","13.1"
"28","16.1","17.8","23.9","22.1","31.1","30.6","30.8","30.9","28.2","23.6","21.7","16.7"
"29","15.0","--","24.7","19.7","26.5","31.5","29.6","30.9","28.2","22.6","23.6","17.8"
"30","18.0","--","25.1","23.3","26.2","31.1","29.4","30.9","28.7","22.3","21.0","16.0"
"31","19.2","--","24.5","--","24.4","--","27.8","30.7","--","23.3","--","16.0"
"平均","16.0","19.1","20.3","22.4","28.2","29.3","30.3","28.9","29.5","25.7","21.2","18.3"
