"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","12.0","20.2","15.9","16.4","23.8","26.9","30.7","31.2","29.9","27.8","23.5","17.7"
"02","13.6","18.9","17.1","15.9","24.8","26.4","28.4","32.0","28.4","26.6","20.5","19.6"
"03","16.3","19.3","16.3","21.0","24.7","28.0","27.2","31.3","27.9","25.8","19.0","16.2"
"04","17.2","20.4","20.1","22.5","21.0","24.3","28.5","28.9","28.1","24.3","22.9","17.5"
"05","17.3","19.1","21.0","19.2","22.1","24.8","28.2","29.7","29.0","23.6","25.4","16.8"
"06","17.7","17.7","14.9","16.5","22.4","26.2","29.6","28.3","29.1","24.5","25.9","18.6"
"07","17.3","18.7","14.8","18.5","24.2","27.6","30.0","27.3","28.8","24.2","25.8","19.9"
"08","16.8","18.9","16.8","17.6","25.2","27.6","30.1","28.4","28.1","24.0","26.5","22.3"
"09","12.7","21.2","15.3","17.8","25.5","29.2","30.4","26.8","28.3","24.3","25.8","22.1"
"10","10.9","18.7","19.3","20.2","25.6","30.2","31.5","28.6","27.4","23.5","25.2","21.7"
"11","13.9","20.0","18.7","23.6","26.2","27.0","31.9","30.0","30.2","23.6","22.0","22.1"
"12","13.8","21.8","21.2","24.9","27.3","28.9","31.3","28.3","30.8","23.8","22.6","20.1"
"13","10.9","23.6","20.3","23.5","25.8","27.9","29.6","28.0","29.3","24.3","20.0","21.2"
"14","11.3","21.4","12.4","20.9","24.8","25.4","29.1","29.3","30.5","23.4","18.5","19.3"
"15","14.4","21.8","17.9","23.7","27.9","26.0","29.6","29.6","29.6","22.6","21.2","20.0"
"16","17.3","18.3","19.3","23.2","28.1","28.0","31.0","29.2","29.9","24.1","22.1","15.5"
"17","18.5","17.4","20.9","21.2","27.7","30.1","31.1","29.6","29.7","24.9","17.7","14.0"
"18","18.0","20.4","22.8","24.7","25.1","30.0","30.9","29.5","29.7","24.5","16.7","12.3"
"19","19.3","21.7","23.9","25.0","24.3","29.3","30.4","30.1","28.2","25.2","19.4","11.3"
"20","19.9","16.8","22.4","25.5","27.2","29.5","30.0","30.5","28.0","23.6","18.8","11.7"
"21","19.8","18.7","23.6","22.3","27.4","29.0","31.5","30.2","29.0","23.9","17.6","12.0"
"22","18.3","22.4","25.2","20.2","28.5","30.1","31.6","30.2","29.8","23.3","19.0","16.4"
"23","14.3","23.4","18.0","24.5","28.4","29.9","31.4","30.2","29.3","22.8","20.7","17.2"
"24","10.1","24.0","15.3","26.4","25.2","29.2","30.7","31.2","29.7","22.8","21.7","18.6"
"25","12.2","23.6","16.7","20.5","26.2","28.1","28.7","31.0","28.8","23.0","22.5","18.6"
"26","14.4","20.2","20.2","17.0","25.8","28.4","28.8","30.7","29.3","22.3","22.8","15.3"
"27","15.0","19.2","21.2","19.6","22.4","28.0","29.5","30.6","28.0","23.7","22.8","16.3"
"28","19.3","17.9","18.3","21.1","23.3","29.0","29.0","31.1","28.1","25.2","20.2","12.5"
"29","19.5","--","15.9","22.6","23.9","30.1","29.7","30.7","27.3","25.7","20.2","15.7"
"30","16.7","--","15.7","23.4","24.7","30.5","31.0","30.7","28.9","25.2","18.8","15.5"
"31","17.1","--","16.5","--","25.6","--","31.4","30.6","--","26.7","--","14.1"
"平均","15.7","20.2","18.6","21.3","25.3","28.2","30.1","29.8","29.0","24.3","21.5","17.2"
